n_search=500, maxQ, not random ------------
time: 24.05818819999695, iter: 1, results: 0.6666666666666666
time: 75.70890617370605, iter: 2, results: 0.8181818181818182
time: 122.67989587783813, iter: 3, results: 0.8181818181818182
time: 160.95681285858154, iter: 4, results: 0.8181818181818182
time: 199.57940411567688, iter: 5, results: 0.8181818181818182
time: 241.89185214042664, iter: 6, results: 0.8181818181818182
time: 274.65975689888, iter: 7, results: 0.8787878787878788
time: 316.6941521167755, iter: 8, results: 0.8787878787878788
time: 353.5993130207062, iter: 9, results: 0.8484848484848485
time: 401.53965306282043, iter: 10, results: 0.8484848484848485
time: 426.0585308074951, iter: 11, results: 0.9090909090909091
time: 470.580708026886, iter: 12, results: 0.9696969696969697
time: 496.18230414390564, iter: 13, results: 0.9696969696969697
time:518.4431960582733, iter:14, END

n_search=500, maxQ,  random simulation and play ------------
/anaconda3/envs/py36/bin/python /Users/fs2813/Documents/GitHub/Floorplan/mcts.py
time: 46.331677198410034, iter: 1, results: 0.696969696969697
time: 103.10607314109802, iter: 2, results: 0.7878787878787878
time: 158.97112011909485, iter: 3, results: 0.6666666666666666
time: 193.6111011505127, iter: 4, results: 0.6666666666666666
time: 232.68223404884338, iter: 5, results: 0.7878787878787878
time: 272.12099504470825, iter: 6, results: 0.6666666666666666
time: 312.9616310596466, iter: 7, results: 0.6363636363636364
time: 339.75636291503906, iter: 8, results: 0.6666666666666666
time: 380.72232484817505, iter: 9, results: 0.7272727272727273
time: 407.8534481525421, iter: 10, results: 0.6363636363636364
time: 437.3233640193939, iter: 11, results: 0.5454545454545454
time: 479.7514500617981, iter: 12, results: 0.7878787878787878
time: 506.91306591033936, iter: 13, results: 0.696969696969697
time: 553.9048910140991, iter: 14, results: 0.6060606060606061
time: 584.7986259460449, iter: 15, results: 0.7272727272727273
time: 611.7883932590485, iter: 16, results: 0.7878787878787878
time: 645.0489990711212, iter: 17, results: 0.7575757575757576
time: 694.3674249649048, iter: 18, results: 0.6060606060606061
time: 719.9888701438904, iter: 19, results: 0.6666666666666666
time: 749.6129970550537, iter: 20, results: 0.6666666666666666
no end

n_search=500, maxQ, random play, not random simulation ----------
/anaconda3/envs/py36/bin/python /Users/fs2813/Documents/GitHub/Floorplan/mcts.py
time: 25.77368664741516, iter: 1, results: 0.7272727272727273
time: 123.38610100746155, iter: 2, results: 0.8181818181818182
time: 180.50124192237854, iter: 3, results: 0.8181818181818182
time: 231.2641580104828, iter: 4, results: 0.8181818181818182
time: 284.6248848438263, iter: 5, results: 0.8181818181818182
time: 335.9612138271332, iter: 6, results: 0.8181818181818182
time: 390.87142395973206, iter: 7, results: 0.8181818181818182
time: 448.6703577041626, iter: 8, results: 0.8787878787878788
time: 488.23465871810913, iter: 9, results: 0.8787878787878788
time: 538.8206288814545, iter: 10, results: 0.8484848484848485
time: 582.9234240055084, iter: 11, results: 0.8484848484848485
time: 638.8152298927307, iter: 12, results: 0.8484848484848485
time: 680.1844537258148, iter: 13, results: 0.9090909090909091
time: 722.8065836429596, iter: 14, results: 0.9696969696969697
time: 781.6128668785095, iter: 15, results: 0.9393939393939394
time:802.30686378479, iter:16, END

n_search=500, maxQ, not random play, random simulation -------------
/anaconda3/envs/py36/bin/python /Users/fs2813/Documents/GitHub/Floorplan/mcts.py
time: 40.59035015106201, iter: 1, results: 0.8484848484848485
time: 70.29654812812805, iter: 2, results: 0.7878787878787878
time: 103.55531907081604, iter: 3, results: 0.5757575757575758
time: 137.0593011379242, iter: 4, results: 0.7878787878787878
time: 174.5786852836609, iter: 5, results: 0.6666666666666666
time: 212.3089051246643, iter: 6, results: 0.7878787878787878
time: 238.95088815689087, iter: 7, results: 0.696969696969697
time: 276.54556107521057, iter: 8, results: 0.696969696969697
time: 300.15557622909546, iter: 9, results: 0.696969696969697
time: 334.4150071144104, iter: 10, results: 0.696969696969697
time: 355.2673671245575, iter: 11, results: 0.696969696969697
time: 374.133296251297, iter: 12, results: 0.696969696969697
time: 388.58732533454895, iter: 13, results: 0.696969696969697
time: 403.80907917022705, iter: 14, results: 0.696969696969697
time: 418.5883822441101, iter: 15, results: 0.696969696969697
time: 447.77142810821533, iter: 16, results: 0.696969696969697
time: 461.9063091278076, iter: 17, results: 0.696969696969697
time: 476.1827371120453, iter: 18, results: 0.696969696969697
time: 493.0609369277954, iter: 19, results: 0.696969696969697
time: 511.32022404670715, iter: 20, results: 0.696969696969697
time: 525.3241741657257, iter: 21, results: 0.696969696969697
time: 539.1414573192596, iter: 22, results: 0.696969696969697
time: 555.5665862560272, iter: 23, results: 0.696969696969697
time: 570.8141551017761, iter: 24, results: 0.696969696969697
time: 585.0645701885223, iter: 25, results: 0.696969696969697
time: 600.7203891277313, iter: 26, results: 0.696969696969697
time: 633.3979661464691, iter: 27, results: 0.696969696969697
time: 651.63352394104, iter: 28, results: 0.696969696969697
time: 673.1397943496704, iter: 29, results: 0.696969696969697
time: 688.5503041744232, iter: 30, results: 0.696969696969697
time: 704.5154869556427, iter: 31, results: 0.696969696969697
time: 721.0350761413574, iter: 32, results: 0.696969696969697
no end




case2  nonadjacency constraints ---------
2000N 3* randplay
time: 148.50916290283203, iter: 1, results: 0.84
time: 291.611035823822, iter: 2, results: 0.6
time: 425.2194139957428, iter: 3, results: 0.6
time: 586.3970160484314, iter: 4, results: 0.52
time: 716.7600078582764, iter: 5, results: 0.68
time: 813.0384140014648, iter: 6, results: 0.68
time: 960.0478620529175, iter: 7, results: 0.6
time: 1058.3286378383636, iter: 8, results: 0.6
