search_n=100, original simulation backup, loop realplay, maxQ --------------------------------
2019-02-12T15:58:47.627314  START
2019-02-12T15:58:51.656319  iter: 1, results: 0.7272727272727273
2019-02-12T15:58:55.973964  iter: 2, results: 0.6363636363636364
2019-02-12T15:59:01.855896  iter: 3, results: 0.7575757575757576
2019-02-12T15:59:09.394076  iter: 4, results: 0.7878787878787878
2019-02-12T15:59:17.517663  iter: 5, results: 0.7272727272727273
2019-02-12T15:59:26.348622  iter: 6, results: 0.6666666666666666
2019-02-12T15:59:39.895795  iter: 7, results: 0.8181818181818182
2019-02-12T15:59:54.062357  iter: 8, results: 0.8181818181818182
2019-02-12T16:00:05.680014  iter: 9, results: 0.8181818181818182
2019-02-12T16:00:15.455732  iter: 10, results: 0.8181818181818182
2019-02-12T16:00:25.280006  iter: 11, results: 0.8181818181818182
2019-02-12T16:00:37.979131  iter: 12, results: 0.8181818181818182
2019-02-12T16:00:47.142349  iter: 13, results: 0.8181818181818182
2019-02-12T16:01:00.416765  iter: 14, results: 0.8181818181818182
2019-02-12T16:01:08.863626  iter: 15, results: 0.8181818181818182
2019-02-12T16:01:18.507485  iter: 16, results: 0.8181818181818182
2019-02-12T16:01:27.726223  iter: 17, results: 0.8181818181818182
2019-02-12T16:01:40.409117  iter: 18, results: 0.8181818181818182
2019-02-12T16:01:49.549638  iter: 19, results: 0.8181818181818182
2019-02-12T16:01:57.802701  iter: 20, results: 0.8181818181818182
2019-02-12T16:02:06.373551  iter: 21, results: 0.8181818181818182
2019-02-12T16:02:21.477295  iter: 22, results: 0.8181818181818182
2019-02-12T16:02:30.311498  iter: 23, results: 0.8181818181818182
2019-02-12T16:02:40.522467  iter: 24, results: 0.8181818181818182
2019-02-12T16:02:49.517391  iter: 25, results: 0.8181818181818182
2019-02-12T16:02:58.626159  iter: 26, results: 0.8181818181818182
2019-02-12T16:03:07.064321  iter: 27, results: 0.8181818181818182
2019-02-12T16:03:24.589969  iter: 28, results: 0.8181818181818182
2019-02-12T16:03:33.975227  iter: 29, results: 0.8181818181818182
2019-02-12T16:03:44.873168  iter: 30, results: 0.7878787878787878
2019-02-12T16:03:54.197941  iter: 31, results: 0.7878787878787878
2019-02-12T16:04:02.849829  iter: 32, results: 0.7575757575757576
2019-02-12T16:04:11.570258  iter: 33, results: 0.8484848484848485
2019-02-12T16:04:20.916062  iter: 34, results: 0.9090909090909091
2019-02-12T16:04:37.212062  iter: 35, results: 0.7575757575757576
2019-02-12T16:04:41.712552  iter: 36, results: 0.8787878787878788
2019-02-12T16:04:45.996935  iter: 37, results: 0.8787878787878788
2019-02-12T16:04:51.234649  iter: 38, results: 0.8181818181818182
2019-02-12T16:04:56.711955  iter: 39, results: 0.8484848484848485
2019-02-12T16:05:01.595177  iter: 40, results: 0.8484848484848485
2019-02-12T16:05:06.285571  iter: 41, results: 0.8787878787878788
2019-02-12T16:05:11.442173  iter: 42, results: 0.8787878787878788
2019-02-12T16:05:30.191315  iter: 43, results: 0.8787878787878788
2019-02-12T16:05:34.721060  iter: 44, results: 0.8787878787878788
2019-02-12T16:05:39.259360  iter: 45, results: 0.8787878787878788
2019-02-12T16:05:44.317273  iter: 46, results: 0.8787878787878788
2019-02-12T16:05:49.244795  iter: 47, results: 0.9393939393939394
2019-02-12T16:05:55.131125  iter: 48, results: 0.9393939393939394
2019-02-12T16:06:00.594174  iter: 49, results: 0.9393939393939394
2019-02-12T16:06:05.646234  iter: 50, results: 0.9393939393939394
2019-02-12T16:06:11.085396  iter: 51, results: 0.9393939393939394
2019-02-12T16:06:16.336492  iter: 52, results: 0.9393939393939394
2019-02-12T16:06:22.287038  iter: 53, results: 0.7878787878787878
2019-02-12T16:06:44.613928  iter: 54, results: 0.8484848484848485
2019-02-12T16:06:50.388082  iter: 55, results: 0.8484848484848485
2019-02-12T16:06:56.059996  iter: 56, results: 0.8484848484848485
2019-02-12T16:07:01.467457  iter: 57, results: 0.9393939393939394
2019-02-12T16:07:06.416126  iter: 58, results: 0.8787878787878788
